position,team,played,won,drawn,lost,goals_for,goals_against,goal_difference,points,year
7,Real Betis,30.0,15,3,12,42,53,−11,33,1959-60
6,Real Betis,30.0,11,8,11,42,44,−2,30,1960-61
9,Real Betis,30.0,10,8,12,39,51,−12,28,1961-62
9,Real Betis,30.0,12,4,14,41,47,−6,28,1962-63
3,Real Betis,30.0,15,7,8,47,36,+11,37,1963-64
12,Real Betis,30.0,8,7,15,33,45,−12,23,1964-65
16,Real Betis,30.0,7,9,14,36,60,−24,23,1965-66
15,Real Betis,30.0,8,4,18,30,58,−28,20,1967-68
13,Real Betis,34.0,10,10,14,25,45,−20,30,1971-72
16,Real Betis,34.0,7,14,13,29,36,−7,28,1972-73
9,Real Betis,34.0,14,6,14,35,41,−6,34,1974-75
7,Real Betis,34.0,15,5,14,34,50,−16,35,1975-76
5,Real Betis,34.0,15,6,13,42,42,0,36,1976-77
16,Real Betis,34.0,11,8,15,51,52,−1,30,1977-78
5,Real Betis,34.0,12,12,10,42,40,+2,36,1979-80
6,Real Betis,34.0,17,6,11,55,38,+17,40,1980-81
6,Real Betis,34.0,15,6,13,53,44,+9,36,1981-82
11,Real Betis,34.0,9,12,13,42,45,−3,30,1982-83
5,Real Betis,34.0,17,4,13,45,40,+5,38,1983-84
14,Real Betis,34.0,11,8,15,37,43,−6,30,1984-85
8,Real Betis,34.0,11,13,10,40,40,0,35,1985-86
16,Real Betis,38.0,14,5,19,42,54,−12,33,1987-88
18,Real Betis,38.0,9,11,18,36,55,−19,29,1988-89
20,Real Betis,38.0,6,13,19,37,65,−28,25,1990-91
16,Real Betis,38.0,8,16,14,36,49,−13,40,2006-07
13,Real Betis,38.0,13,8,17,47,56,−9,47,2011-12
7,Real Betis,38.0,16,8,14,57,56,+1,56,2012-13
20,Real Betis,38.0,6,7,25,36,78,−42,25,2013-14
10,Real Betis,38.0,11,12,15,34,52,−18,45,2015-16
15,Real Betis,38.0,10,9,19,41,64,−23,39,2016-17
6,Real Betis,38.0,18,6,14,60,61,−1,60,2017-18
10,Real Betis,38.0,14,8,16,44,52,−8,50,2018-19
15,Real Betis,38.0,10,11,17,48,60,−12,41,2019-20
6,Real Betis,38.0,17,10,11,50,50,0,61,2020-21
5,Real Betis,38.0,19,8,11,62,40,+22,65,2021-22
